_id,Stadtteil,Jahr,Hunde,Hunde je 1.000 Bewohner/-innen (Wohnberechtigte),Hunde je 1.000 Haushalte (HH)
1,Innenstadt-Ost,2014,101,14.0,20.6
2,Innenstadt-Ost,2015,97,13.4,19.7
3,Innenstadt-Ost,2016,102,14.6,21.7
4,Innenstadt-Ost,2017,110,16.0,23.7
5,Innenstadt-Ost,2018,97,14.2,20.9
6,Innenstadt-Ost,2019,86,12.6,18.4
7,Innenstadt-Ost,2020,94,14.3,20.7
8,Innenstadt-West,2014,131,11.9,17.1
9,Innenstadt-West,2015,141,12.7,18.3
10,Innenstadt-West,2016,132,12.3,17.9
11,Innenstadt-West,2017,132,12.5,18.0
12,Innenstadt-West,2018,124,11.7,16.8
13,Innenstadt-West,2019,131,12.5,17.9
14,Innenstadt-West,2020,147,14.8,20.6
15,Südstadt,2014,295,14.6,23.4
16,Südstadt,2015,317,15.4,24.7
17,Südstadt,2016,326,15.8,25.6
18,Südstadt,2017,321,15.5,25.2
19,Südstadt,2018,318,15.3,24.6
20,Südstadt,2019,324,15.6,24.9
21,Südstadt,2020,358,17.6,27.8
22,Südweststadt,2014,259,12.0,20.4
23,Südweststadt,2015,274,12.6,21.3
24,Südweststadt,2016,292,13.7,23.3
25,Südweststadt,2017,289,13.6,23.1
26,Südweststadt,2018,298,14.0,23.6
27,Südweststadt,2019,324,15.3,25.6
28,Südweststadt,2020,337,16.0,26.8
29,Weststadt,2014,401,18.8,31.3
30,Weststadt,2015,403,18.8,31.3
31,Weststadt,2016,414,19.7,32.8
32,Weststadt,2017,421,20.2,33.6
33,Weststadt,2018,438,21.1,35.1
34,Weststadt,2019,424,20.8,34.4
35,Weststadt,2020,436,21.7,35.8
36,Nordweststadt,2014,313,25.9,47.5
37,Nordweststadt,2015,331,27.0,48.8
38,Nordweststadt,2016,341,28.3,51.2
39,Nordweststadt,2017,349,29.7,54.1
40,Nordweststadt,2018,343,29.1,52.7
41,Nordweststadt,2019,352,30.1,54.7
42,Nordweststadt,2020,368,31.9,57.0
43,Oststadt,2014,252,9.7,16.1
44,Oststadt,2015,254,8.1,13.7
45,Oststadt,2016,256,13.0,19.8
46,Oststadt,2017,255,13.0,19.7
47,Oststadt,2018,276,14.0,20.0
48,Oststadt,2019,290,14.6,22.2
49,Oststadt,2020,322,16.5,24.5
50,Mühlburg,2014,356,20.6,34.0
51,Mühlburg,2015,403,23.2,37.9
52,Mühlburg,2016,389,22.3,36.4
53,Mühlburg,2017,394,22.7,37.2
54,Mühlburg,2018,402,23.4,38.1
55,Mühlburg,2019,409,24.1,39.4
56,Mühlburg,2020,438,26.4,43.1
57,Daxlanden,2014,508,42.2,80.8
58,Daxlanden,2015,513,42.7,81.4
